,source,text,timestamp,compound,positive,negative,neutral,tweet_index
113,CBS,RT @YoungSheldon: There's something @elonmusk never told you about @spacex's Falcon 9. ?  #YoungSheldon https://t.co/bu3W0IC8zN,Dec/05/2017,0.0,0.0,0.0,1.0,13
114,CBS,"Just like old times, Carol Burnett bumps up the lights and answers questions from the audience. Catch up on The Car… https://t.co/9r7WI8d1tZ",Dec/04/2017,0.3612,0.106,0.0,0.894,14
115,CBS,Star comedian @JimCarrey gets emotional when he expresses his heartfelt thanks to Carol Burnett for her positive in… https://t.co/5QCejBcg5T,Dec/04/2017,0.9217,0.504,0.0,0.496,15
116,CBS,Take a trip down memory lane with Carol Burnett for a special tribute you'll never forget. Catch up on The Carol Bu… https://t.co/XBINDav614,Dec/04/2017,0.5213,0.187,0.0,0.813,16
117,CBS,"RT @JLawlorNY: So, ok...maybe I'm crying at at the #CarolBurnett50 finale with everyone singing her theme song! #ImSoGladWeHadThisTimeToget…",Dec/04/2017,-0.5655,0.0,0.177,0.823,17
118,CBS,RT @junerenee: A true classic and favorite!! Love #CarolBurnett50 laughed and cried...just like before!,Dec/04/2017,0.9466,0.672,0.0,0.328,18
119,CBS,RT if you’ve loved reliving these classic moments during #CarolBurnett50 https://t.co/I1tIWeSlsQ,Dec/04/2017,0.5994,0.281,0.0,0.719,19
120,CBS,RT @Mom101: I can't tell you the joy of seeing my 10yo laughing at this. Especially the Tim Conway dentist sketch.  #CarolBurnett50,Dec/04/2017,0.7906,0.269,0.0,0.731,20
121,CBS,"RT @AdeleAndMike: Thank You for bringing back such wonderful memories, the entire family would gather to watch, and we would then laugh abo…",Dec/04/2017,0.8689,0.329,0.0,0.671,21
122,CBS,RT @tessab13: The Siamese Elephants skit on the Carol Burnett show is such a classic and possibly my favorite. Loved Tim Conway! #CarolBurn…,Dec/04/2017,0.8016,0.264,0.0,0.736,22
123,CBS,RT @inezpanebianco: @OfficialBPeters and Carol Burnett reminiscing back on the carol burnett show is my idea of a perfect night ?? #CarolBu…,Dec/04/2017,0.5719,0.156,0.0,0.844,23
124,CBS,"What a performance by @OfficialBPeters, @KChenoweth, Carol Burnett, Steve Lawrence, and @StephenAtHome!… https://t.co/DqewQ6ASQp",Dec/04/2017,0.0,0.0,0.0,1.0,24
125,CBS,RT @jonjeffryes: Bob Mackie created 65 costumes a week for The Carol Burnett Show #CarolBurnett50,Dec/04/2017,0.25,0.133,0.0,0.867,25
126,CBS,RT @bmayberry92: Steve Carell with that video submission though! ? #carolburnett50,Dec/04/2017,0.0,0.0,0.0,1.0,26
127,CBS,She’s still got it! #CarolBurnett50 https://t.co/zTxZc5zrqP,Dec/04/2017,0.0,0.0,0.0,1.0,27
128,CBS,RT @BobMackie: Our friend Tim Conway never failed to make us laugh #CarolBurnett50,Dec/04/2017,0.8591,0.487,0.0,0.513,28
129,CBS,RT @bpeters99: #CarolBurnett50  Am I the Only one with tears in my eyes while I give a standing ovation from my couch? One of the most bril…,Dec/04/2017,-0.2263,0.0,0.076,0.924,29
130,CBS,RT @SuperJen1117: This show is awesome...Some of the funniest women together on one stage ???? #CarolBurnett50,Dec/04/2017,0.5574,0.194,0.0,0.806,30
131,CBS,These two are just like sisters ?? #CarolBurnett50 https://t.co/EPpyf2kOuV,Dec/04/2017,0.3612,0.238,0.0,0.762,31
132,CBS,RT @chattie: Watching #carolburnett50  can’t quit smiling. Brings me memories of watching on Saturday nights with my mom and grandma.,Dec/04/2017,0.4588,0.136,0.0,0.864,32
133,CBS,RT @DanRocks98: Settling in for the #CarolBurnett50 special. This lady is comedy gold! A true staple of my childhood.,Dec/04/2017,0.807,0.356,0.0,0.644,33
134,CBS,She’s back! Tune in now to see The Carol Burnett 50th Anniversary Special on CBS and CBS All Access. #CarolBurnett50 https://t.co/HhvRmT5AR0,Dec/04/2017,0.4574,0.13,0.0,0.87,34
135,CBS,"Due to #NFL football overrun #CBS is delayed 11 min in: 
Atlanta 
Baltimore 
Columbus
Cleveland 
Toledo
Detroit
Fli… https://t.co/oCkn11yJOR",Dec/04/2017,-0.2263,0.0,0.095,0.905,35
136,CBS,Relive the laughter and the magic in this star-studded tribute to everyone's favorite classic comedy show. Don't mi… https://t.co/WV6jxBnRAt,Dec/03/2017,0.8271,0.352,0.0,0.648,36
137,CBS,"Tonight, spend an evening together with Carol Burnett and celebrity friends as they celebrate The Carol Burnett 50t… https://t.co/uH2uM9cJFS",Dec/03/2017,0.7783,0.286,0.0,0.714,37
138,CBS,Carol Burnett credits the close-knit cast for the success of her show. Join her and original cast members Vicki Law… https://t.co/1rlNPUS5EJ,Dec/03/2017,0.8658,0.386,0.0,0.614,38
139,CBS,Carol Burnett and friends reflect on how the show became an instant classic that's still celebrated today! Join the… https://t.co/lZgVz9XSyM,Dec/03/2017,0.8516,0.353,0.0,0.647,39
140,CBS,"Tonight, celebrate with Carol Burnett, Vicki Lawrence, Lyle Waggoner &amp; more special guests! Find out how to watch T… https://t.co/Rhm6RJ34u2",Dec/03/2017,0.7897,0.28,0.0,0.72,40
141,CBS,Stream Indiana at Michigan LIVE today at 12:30PM ET with a 1-month FREE trial of #CBSAllAccess. Just use promo code… https://t.co/xRem3zSyEQ,Dec/02/2017,0.6166,0.175,0.0,0.825,41
142,CBS,Kristin Chenoweth (@KChenoweth) explains why audiences still crave Carol Burnett! Don't miss The Carol Burnett 50th… https://t.co/kM92NTtTfs,Dec/02/2017,0.1867,0.098,0.0,0.902,42
143,CBS,"Catch up on this amazing lineup of music specials! Here's how to watch Bruno Mars: 24K Magic Live at the Apollo, Th… https://t.co/Jit2CzZJCY",Dec/02/2017,0.6996,0.179,0.0,0.821,43
144,CBS,Missed Bruno Mars: 24K Magic Live at the Apollo? Keep up! Watch the full show: https://t.co/itXpGB5gRm #BrunoMars https://t.co/8yyQlC1LML,Dec/02/2017,-0.3595,0.0,0.128,0.872,44
145,CBS,Reminisce with these classic photos and get ready to relive the magic when The Carol Burnett 50th Anniversary Speci… https://t.co/yJQEzCjoSA,Dec/01/2017,0.3612,0.116,0.0,0.884,45
146,CBS,"RT @LivinBiblically: In the beginning, there was Chip. And lo! Chip had a revelation. #LivingBiblically is a new comedy premiering Monday,…",Dec/01/2017,0.4199,0.134,0.0,0.866,46
147,CBS,"Discover these pro football stars' off-the-field talents in MVP: Most Valuable Performer, airing Jan 25 on CBS! Fin… https://t.co/g8jSRW8mQf",Dec/01/2017,0.7707,0.282,0.0,0.718,47
